Świnoujście,53.909748,14.25107
Kołobrzeg,54.176038,15.576466
Ustka,54.581125,16.861296
Gdańsk,54.348226,18.654289
Olsztyn,53.774931,20.481759
Białystok,53.132398,23.159168
Lublin,51.250568,22.570502
Rzeszów,50.005452,21.991807
Kraków,50.061892,19.936856
Golczewo,53.824108,14.97734
Wolin,53.847981,14.612117
Międzyzdroje,53.92834,14.449084
Dziwnów,54.025095,14.752647
Trzebiatów,54.063032,15.266259
Katowice,50.259317,19.021841
Częstochowa,50.813007,19.117082
Kielce,50.871819,20.630736
Radom,51.402731,21.157225
Warszawa,52.231924,21.006726
Łódź,51.768749,19.456982
Wrocław,51.112238,17.034433
Zielona Góra,51.938292,15.504568
Gorzów Wielkopolski,52.731916,15.236027
Poznań,52.40823,16.933364
Bydgoszcz,53.126088,18.010981
Toruń,53.021067,18.618612
Gdynia,54.516498,18.540274
Hel,54.606643,18.802878
Suwałki,54.100335,22.933228
Ustrzyki Dolne,49.43021,22.594172
Zakopane,49.296945,19.950659
Opole,50.666818,17.923641
Jelenia Góra,50.903103,15.734431
Kłodzko,50.438729,16.655105
Piła,53.149386,16.739096
Szczecin,53.430212,14.550978
Kalisz,51.758128,18.085
Zamość,50.721405,23.259599
Koszalin,54.19092,16.17707
Kamień Pomorski,53.967801,14.771433
Gryfice,53.915433,15.19882
Anklam,53.85589,13.688089
Pasewalk,53.505368,13.988905
Police,53.56775,14.561734
Goleniów,53.56636,14.83062
Nowogard,53.669456,15.120863
Trzebnica,51.309479,17.061943
Oborniki Śląskie,51.300704,16.912593
Oleśnica,51.209531,17.380456
Długołęka,51.174356,17.193241
Łany,51.083392,17.158828
Siechnice,51.032388,17.150728
Kobierzyce,50.972059,16.929812
Środa Śląska,51.163615,16.593937
Brzeg Dolny,51.257265,16.715632
Oława,50.942821,17.295528
Brzeg,50.858904,17.463997
Legnica,51.201814,16.16709
Lubin,51.39818,16.202418
Jelcz-Laskowice,51.034052,17.329727
Namysłów,51.076626,17.718562
